지역명,연도,월,평당분양가격,전용면적
충북,2016.0,4.0,7510.799999999999,85㎡~102㎡
충북,2016.0,4.0,7461.299999999999,102㎡~
충남,2016.0,4.0,7157.7,모든면적
충남,2016.0,4.0,7573.5,60㎡
충남,2016.0,4.0,7128.0,60㎡~85㎡
충남,2016.0,4.0,8385.3,85㎡~102㎡
충남,2016.0,4.0,8705.4,102㎡~
전북,2016.0,4.0,6299.7,모든면적
전북,2016.0,4.0,6270.0,60㎡
전북,2016.0,4.0,6322.799999999999,60㎡~85㎡
전북,2016.0,4.0,7487.7,85㎡~102㎡
전북,2016.0,4.0,7854.0,102㎡~
전남,2016.0,4.0,6352.5,모든면적
전남,2016.0,4.0,6563.7,60㎡
전남,2016.0,4.0,6345.9,60㎡~85㎡
전남,2016.0,4.0,7464.599999999999,85㎡~102㎡
전남,2016.0,4.0,7180.799999999999,102㎡~
